Partlist exported from /Users/superchange/Documents/gits/elasticnodehardware/elasticNode.sch at 2019/3/26 16:11

Part Value               Device              Package             Description SPICEPREFIX
C1   10u                 CAPACITOR0805       0805                                       
C2   20p                 CAPACITOR0805       0805                                       
C3   20p                 CAPACITOR0805       0805                                       
C4   10u                 CAPACITOR0805       0805                                       
C5   20p                 CAPACITOR0805       0805                                       
C6   20p                 CAPACITOR0805       0805                                       
C7   100u                CAPACITOR1210       1210                                       
C8   4.7u                CAPACITOR1210       1210                                       
C9   4.7u                CAPACITOR0805       0805                                       
C10  0.47u               CAPACITOR0805       0805                                       
C11  0.47u               CAPACITOR0805       0805                                       
C12  47u                 CAPACITOR1210       1210                                       
C13  4.7                 CAPACITOR0805       0805                                       
C14  0.47u               CAPACITOR0805       0805                                       
C15  0.47u               CAPACITOR0805       0805                                       
C16  0.47u               CAPACITOR0805       0805                                       
C17  100u                CAPACITOR1210       1210                                       
C18  4.7u                CAPACITOR0805       0805                                       
C19  4.7u                CAPACITOR0805       0805                                       
C20  4.7u                CAPACITOR0805       0805                                       
C21  0.47u               CAPACITOR0805       0805                                       
C22  0.47u               CAPACITOR0805       0805                                       
C23  0.47u               CAPACITOR0805       0805                                       
C24  100u                CAPACITOR1210       1210                                       
C25  4.7u                CAPACITOR0805       0805                                       
C26  4.7u                CAPACITOR0805       0805                                       
C27  4.7u                CAPACITOR0805       0805                                       
C28  0.47u               CAPACITOR0805       0805                                       
C29  0.47u               CAPACITOR0805       0805                                       
C30  0.47u               CAPACITOR0805       0805                                       
C31  10u                 CAPACITOR0805       0805                                       
C32  10u                 CAPACITOR0805       0805                                       
C33  22u                 CAPACITOR0805       0805                                       
C34  22u                 CAPACITOR0805       0805                                       
C35  22u                 CAPACITOR0805       0805                                       
D1   GREEN 2.2V          LED                 0805                                       
D2   GREEN 2.2V          LED                 0805                                       
D3   GREEN 2.2V          LED                 0805                                       
D4   GREEN 2.2V          LED                 0805                                       
D5   GREEN 2.2V          LED                 0805                                       
D6   GREEN 2.2V          LED                 0805                                       
D7   RED 1.8V 2mA        LED                 0805                                       
D8   RED                 LED                 0805                                       
D9   RED                 LED                 0805                                       
D10  RED                 LED                 0805                                       
D11  RED                 LED                 0805                                       
J1   FEMALE_HEADER_5X2   FEMALE_HEADER_5X2   5X2_HEADER_SMT_1.27                        
J2   FEMALE_HEADER_5X2   FEMALE_HEADER_5X2   5X2_HEADER_SMT_1.27                        
J3   ISP_CONN_6PIN       ISP_CONN_6PIN       ICSP_SMT                        X          
J4   FEMALE_HEADER_2X1   FEMALE_HEADER_2X1   2X1_HEADER                                 
J5   JUMPER              JUMPER              JUMPER_SMT                                 
J6   ISP_CONN_6PIN       ISP_CONN_6PIN       ICSP_SMT                                   
J7   JUMPER              JUMPER              JUMPER_SMT                                 
J8   USB_CONNMICRO_SMT   USB_CONNMICRO_SMT   USB_MICRO_B_SMT                            
J9   JTAG_CONN_6PINSMT   JTAG_CONN_6PINSMT   6X1_JTAG                                   
J10  FEMALE_HEADER_10X2  FEMALE_HEADER_10X2  10X2_HEADER_SMT                            
J11  USB_CONNMICRO_SMT   USB_CONNMICRO_SMT   USB_MICRO_B_SMT                            
L1   3.3uH               INDUCTOR            0805                                       
L2   3.3uH               INDUCTOR            0805                                       
L3   3.3uH               INDUCTOR            0805                                       
M1   SISS23DN            SISS23DN            POWERPAK1212-8                             
M2   SISS23DN            SISS23DN            POWERPAK1212-8                             
M3   SISS23DN            SISS23DN            POWERPAK1212-8                             
M4   SISS23DN            SISS23DN            POWERPAK1212-8                             
R1   550                 RESISTOR            0805                                       
R2   550                 RESISTOR            0805                                       
R3   550                 RESISTOR            0805                                       
R4   550                 RESISTOR            0805                                       
R5   22                  RESISTOR            0805                                       
R6   22                  RESISTOR            0805                                       
R7   2.4k                RESISTOR            0805                                       
R8   15k                 RESISTOR            0805                                       
R9   10k                 RESISTOR            0805                                       
