C1, -50.90, 5.10, 0.00, 0.1uF, 0402
C2, -51.40, 2.50, 0.00, 10uF, 0805
C3, -14.70, 26.30, 0.00, 0.1uF, 0402
C4, -22.60, 31.60, 90.00, 1uF, 0402
C5, -20.00, 31.60, 90.00, 0.1uF, 0402
C6, -14.70, 28.90, 0.00, 0.1uF, 0402
C7, -21.30, 31.60, 90.00, 2.2uF, 0402
C8, -9.30, 11.10, 180.00, 1uF, 0402
R1, -48.40, 5.80, 0.00, 10K, 0402
R10, -14.70, 31.50, 0.00, 100K, 0402
R11, -6.90, 11.10, 180.00, 10K, 0402
R12, -4.10, 16.70, 0.00, 10K, 0402
R13, -4.10, 13.50, 180.00, 0R, 0402
R2, -48.40, 4.30, 180.00, 10K, 0402
R3, -46.00, 4.30, 180.00, 10K, 0402
R4, -12.30, 28.90, 180.00, 10K, 0402
R5, -12.30, 27.60, 0.00, 10K, 0402
R6, -12.30, 31.50, 0.00, 10K, 0402
R7, -12.30, 30.20, 0.00, 10K, 0402
R8, -14.70, 27.60, 0.00, 2.2K, 0402
R9, -14.70, 30.20, 0.00, 150K, 0402
U1, -44.40, 17.00, 90.00, ESP32-C3-WROOM-02-H4, MODULE_ESP32-C3-WROOM-02-H4
U2, -18.70, 28.30, 0.00, MAX9814ETD+T, SON40P300X300X80-15N
U3, -8.10, 15.50, 0.00, ADXL345BCCZ-RL, PQFN80P300X500X79-14N
