Designator,Mid X,Mid Y,Layer,Rotation
C1,-50.90, 5.10,Top,0.0
C2,-51.40, 2.50,Top,0.0
C3,-14.70,26.30,Top,0.0
C4,-22.60,31.60,Top,90.0
C5,-20.00,31.60,Top,90.0
C6,-14.70,28.90,Top,0.0
C7,-21.30,31.60,Top,90.0
C8,-9.30,11.10,Top,180.0
R1,-48.40, 5.80,Top,0.0
R2,-48.40, 4.30,Top,180.0
R3,-46.00, 4.30,Top,180.0
R4,-12.30,28.90,Top,180.0
R5,-12.30,27.60,Top,0.0
R6,-12.30,31.50,Top,0.0
R7,-12.30,30.20,Top,0.0
R8,-14.70,27.60,Top,0.0
R9,-14.70,30.20,Top,0.0
R10,-14.70,31.50,Top,0.0
R11,-6.90,11.10,Top,180.0
R12,-4.10,16.70,Top,0.0
R13,-4.10,13.50,Top,180.0
U1,-47.50,17.00,Top,90.0
U2,-18.70,28.30,Top,0.0
U3,-8.10,15.50,Top,0.0
