C10, 14.70, 25.00, 270.00, 10uF, CAPC1608-0603
C11, 2.70, 23.00, 270.00, 2.7pF, 0402
C12, 2.10, 28.10, 90.00, 10uF, CAPC1608-0603
C13, 15.26, 30.65, 180.00, 4.7uF, CAPC1608-0603
C14, 15.10, 29.40, 0.00, 0.1uF, 0402
C15, 14.86, 2.69, 0.00, 4.7uF, CAPC1608-0603
C16, 15.10, 4.10, 0.00, 0.1uF, 0402
C18, 18.30, 19.20, 0.00, 0.1uF, 0402
C19, 19.40, 22.00, 90.00, 0.1uF, 0402
C2, 2.60, 14.60, 0.00, 10uF, 0805
C20, 25.40, 17.60, 90.00, 0.1uF, 0402
C21, 17.70, 9.10, 0.00, 0.1uF, 0402
C22, 17.70, 10.30, 0.00, 0.1uF, 0402
C23, 23.00, 22.11, 90.00, 0.1uF, 0402
C26, 23.68, 19.38, 180.00, 0.1uF, 0402
C27, 15.10, 7.97, 180.00, 0.1uF, 0402
C28, 15.40, 21.70, 0.00, 4.7uF, CAPC1608-0603
C31, 21.35, 14.19, 180.00, 20pF, 0402
C32, 21.38, 19.38, 0.00, 20pF, 0402
C33, 27.97, 18.26, 270.00, 1uF, 0402
C34, 53.10, 4.74, 90.00, 4.7uF, CAPC1608-0603
C35, 51.10, 4.74, 90.00, 4.7uF, CAPC1608-0603
C36, 46.00, 6.30, 90.00, 470nF, 0402
C37, 44.70, 6.30, 90.00, 470nF, 0402
C38, 47.30, 6.30, 90.00, 470nF, 0402
C39, 48.60, 6.30, 90.00, 470nF, 0402
C40, 42.10, 6.30, 90.00, 47nF, 0402
C41, 43.40, 6.30, 90.00, 47nF, 0402
C45, 45.20, 27.42, 270.00, 4.7uF, CAPC1608-0603
C46, 46.80, 27.42, 270.00, 4.7uF, CAPC1608-0603
C47, 42.60, 27.16, 270.00, 470nF, 0402
C48, 40.20, 27.16, 270.00, 470nF, 0402
C49, 41.40, 27.16, 270.00, 470nF, 0402
C5, 3.70, 28.10, 270.00, 0.1uF, CAPC1608-0603
C50, 43.80, 27.16, 270.00, 470nF, 0402
C51, 37.80, 27.16, 270.00, 47nF, 0402
C52, 39.00, 27.16, 270.00, 47nF, 0402
C57, 47.40, 15.70, 90.00, 47nF, 0402
C58, 48.60, 15.72, 90.00, 47nF, 0402
C6, 12.23, 24.11, 180.00, 0.1uF, CAPC1608-0603
C68, 54.60, 8.50, 90.00, 4.7uF, CAPC1608-0603
