Comment,Designator,Footprint,LCSC Part #
0.1uF,C14 C16 C18 C19 C20 C21 C22 C23 C26 C27,0402,
0R,R10 R27 R47 R48 R49,0402,
1.5uH(MLP2016H1R5MT0S1),L1,INDC2016X120N,
1K,R46 R51,0402,
1R,R41,0402,
1uF,C33,0402,
2.2uH(MLP2016H2R2MT0S1),L3,INDC2016X120N,
2.7pF,C11,0402,
2K,R45 R50 R53 R56 R57 R58,0402,
3.3pF,C9,0402,
3.3uH(MLP2016H3R3MT0S1),L2,INDC2016X120N,
4.7K,R32 R35 R59,0402,
4.7uF,C13 C15 C28 C34 C35 C45 C46 C68 C70,CAPC1608-0603,
5K,R1 R2,0402,
6.8pF,C7,0402,
10K,R22 R23 R24 R25 R44,0402,
10uF,C2,0805,
10uF,C5 C6 C8 C10 C12,CAPC1608-0603,
12MHz,X1,3.2X2.5_OSC,
20pF,C31 C32,0402,
30K,R8,0402,
47nF,C40 C41 C51 C52 C57 C58 C72 C73 C75,0402,
47uF,C69,0805,
57.6K,R15,0402,
100R,R60 R61 R65 R66 R68 R70,0402,
120K,R9 R12 R13,0402,
150K,R11,0402,
180K,R14,0402,
200R,R37,0402,
470nF,C36 C37 C38 C39 C47 C48 C49 C50 C71 C74,0402,
499R,R30 R39,0402,
806R,R31,0402,
53261-0271,J3,MOLEX_53261-0271,
LTC3569EUDPBF,U3,QFN40P300X300X80-21N,
PAC1934,U4 U5,UQFN-16(4×4×0.5MM),
TEST_POINTSMD,TP1 TP2,SMD_PAD,
Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C24 C30 C44,0402,
0.82R,R16 R17 R18 R19 R20 R21 R26 R28,0603,
0R,R29,0402,
1K,R6 R52 R54 R55 R62,0402,
1uF,C43,0402,
2K,R5,0402,
4.7uF,C17 C25 C29 C54 C60 C61,CAPC1608-0603,
10K,R3 R4 R34,0402,
10uF,C1,0805,
10uF,C4 C42,CAPC1608-0603,
27R,R42 R43,0402,
32MHz,X2,3.2X2.5_OSC,
47nF,C65 C66 C67,0402,
47uF,C53,0805,
100MHz,X3,3.2X2.5_OSC,
100R,R33,0402,
100uF,C59,0805,
470nF,C55 C56 C62 C63 C64,0402,
499R,R36 R38 R40 R63 R64 R67 R69,0402,
CY7C1051DV33,U10,BGA-48,
DIODEB5817W,D1,SOD-123,
FDN302P,Q1,SSOT-3,
MCP73833T-AMI/MF,U2,DFN-10(3X3X0.9),
REF3012AIDBZR,U1,SOT-23(3PIN),
RP2040,U7,QFN40P700X700X100-57T310N,
S25FL256S,U9,WSON6X8MM,
SISS23DN,M1 M2,POWERPAK1212-8,
SPARTAN7-LX15,U8,FTGB196,
TACTILE-SWITCH,S1 S2 S3,TACTILE-SWITCH,
USB4105-GF-A,J4,GCT_USB4105-GF-A,
W25Q16JVUXIQ,U6,USON8-2X3MM,
green,D2,0402,
red,D3 D4 D5 D6 D7 D8 D9,0402,
