Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C24 C30 C44,0402,
0.82R,R16 R17 R18 R19 R20 R21 R26 R28,0603,
0R,R29,0402,
1K,R6 R52 R54 R55 R62,0402,
1uF,C43,0402,
2K,R5,0402,
4.7uF,C17 C25 C29 C54 C60 C61,CAPC1608-0603,
10K,R3 R4 R34,0402,
10uF,C1,0805,
10uF,C4 C42,CAPC1608-0603,
27R,R42 R43,0402,
32MHz,X2,3.2X2.5_OSC,
47nF,C65 C66 C67,0402,
47uF,C53,0805,
100MHz,X3,3.2X2.5_OSC,
100R,R33,0402,
100uF,C59,0805,
470nF,C55 C56 C62 C63 C64,0402,
499R,R36 R38 R40 R63 R64 R67 R69,0402,
CY7C1051DV33,U10,BGA-48,
DIODEB5817W,D1,SOD-123,
FDN302P,Q1,SSOT-3,
MCP73833T-AMI/MF,U2,DFN-10(3X3X0.9),
REF3012AIDBZR,U1,SOT-23(3PIN),
RP2040,U7,QFN40P700X700X100-57T310N,
S25FL256S,U9,WSON6X8MM,
SISS23DN,M1 M2,POWERPAK1212-8,
SPARTAN7-LX15,U8,FTGB196,
TACTILE-SWITCH,S1 S2 S3,TACTILE-SWITCH,
USB4105-GF-A,J4,GCT_USB4105-GF-A,
W25Q16JVUXIQ,U6,USON8-2X3MM,
green,D2,0402,
red,D3 D4 D5 D6 D7 D8 D9,0402,
