Designator,Mid X,Mid Y,Layer,Rotation
C1,12.96,24.50,Top,180.0
C3,45.20, 7.00,Top,90.0
C4,40.10, 7.00,Top,90.0
C17,24.87, 9.11,Top,90.0
C24,15.35,16.80,Top,180.0
C25,15.76,18.77,Top,180.0
C29,23.30, 9.10,Top,90.0
C30,15.10,11.40,Top,180.0
C42,43.63, 2.86,Top,90.0
C43,46.43, 3.12,Top,90.0
C44,45.10, 3.12,Top,90.0
C53,30.58,30.88,Top,270.0
C54,32.66,31.14,Top,270.0
C55,34.06,30.90,Top,270.0
C56,35.30,30.90,Top,270.0
C59,27.86,31.52,Top,180.0
C60,27.58,28.26,Top,180.0
C61,27.58,29.76,Top,180.0
C62,27.30,24.58,Top,180.0
C63,27.30,23.42,Top,180.0
C64,27.30,22.26,Top,180.0
C65,27.30,21.08,Top,180.0
C66,27.30,25.76,Top,180.0
C67,27.32,26.92,Top,180.0
D1, 7.85,24.90,Top,0.0
D2,12.41,30.05,Top,180.0
D3,18.12,30.90,Top,90.0
D4,16.32,30.90,Top,90.0
D5,14.52,30.90,Top,90.0
D6,30.50, 4.10,Top,270.0
D7,29.20, 4.10,Top,270.0
D8,27.90, 4.10,Top,270.0
D9,26.60, 4.10,Top,270.0
J4, 1.50,17.00,Top,270.0
M1,41.00,31.10,Top,270.0
M2,47.00,31.10,Top,270.0
Q1, 3.50,27.96,Top,0.0
R3,12.40,27.39,Top,0.0
R4,12.40,26.10,Top,0.0
R5,12.42,31.40,Top,0.0
R6,12.42,28.70,Top,0.0
R16,24.10, 3.30,Top,180.0
R17,24.00,28.20,Top,180.0
R18,24.00,26.60,Top,180.0
R19, 3.30,24.50,Top,0.0
R20,24.10, 6.70,Top,180.0
R21,24.00,31.40,Top,180.0
R26,24.10, 5.00,Top,180.0
R28,24.00,29.80,Top,180.0
R29,15.90,24.90,Top,180.0
R33,24.58,23.50,Top,180.0
R34,24.56,24.70,Top,0.0
R36,18.12,28.10,Top,90.0
R38,16.32,28.10,Top,90.0
R40,14.52,28.10,Top,90.0
R42, 9.10,16.90,Top,180.0
R43, 9.10,18.10,Top,180.0
R52,38.59, 6.79,Top,90.0
R54,39.90, 4.00,Top,90.0
R55,38.56, 3.99,Top,90.0
R62,27.98,11.12,Top,0.0
R63,30.50, 6.40,Top,270.0
R64,29.20, 6.40,Top,270.0
R67,27.90, 6.40,Top,270.0
R69,26.60, 6.40,Top,270.0
S1,12.00, 3.60,Top,270.0
S2, 7.00, 3.60,Top,90.0
S3,17.00, 3.60,Top,90.0
U1,42.55, 6.65,Top,180.0
U2, 8.60,29.60,Top,90.0
U6,15.09,13.47,Top,180.0
U7,22.00,17.00,Top,90.0
U8,38.00,17.00,Top,270.0
U9,51.60,11.00,Top,270.0
U10,51.60,23.00,Top,180.0
X2,36.10, 5.38,Top,90.0
X3,32.80, 5.38,Top,90.0
